family,propulsion,mission,sweep,agent,seed,termination_reason_mode
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,ppo,1,timeout
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,ppo,2,hardware_failure
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,ppo,3,timeout
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,ppo,4,hardware_failure
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,ppo,5,timeout
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,ppo,6,timeout
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,ppo,7,timeout
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,prograde,0,hardware_failure
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,prograde,1,hardware_failure
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,prograde,2,hardware_failure
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,prograde,3,hardware_failure
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,prograde,4,hardware_failure
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,prograde,5,hardware_failure
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,prograde,6,hardware_failure
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,prograde,7,hardware_failure
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,random,0,timeout
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,random,1,timeout
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,random,2,timeout
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,random,3,timeout
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,random,4,timeout
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,random,5,timeout
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,random,6,timeout
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,random,7,timeout
